trace,mode,suite,instructions,ipc,cycles,LLC0_TOTAL_access,LLC0_TOTAL_hit,LLC0_TOTAL_hit_pct,LLC0_TOTAL_miss,LLC0_TOTAL_miss_pct,llc_avg_miss_latency,mpki,data_store_evictions,data_store_fills_total,data_store_fills_avg,data_store_fills_cv,data_store_fills_min,data_store_fills_max,common_path_rate,ssl_common_selections,avg_rrpv_increment_rounds,rrpv_sampled_evictions,rrpv_total_rounds,no_of_sos_triggered,deferred_sos_services,deferred_sos_dirty_writebacks,sos_percentage,sos_forced_selections,sos_queue_enqueues,sos_queue_max_occupancy,sos_queue_remaining,sos_service_rate,tag_store_full_events,tag_utilization,total_miss_at_tag_array,tag_free_skew0_avg,tag_free_skew1_avg,tag_insert_skew0,tag_insert_skew1,tag_occ_skew0_avg,tag_occ_skew1_avg,allocated_pages,dram_pages,major_fault,minor_fault,llc_security_mode
400.perlbench-41B.champsimtrace.xz,enigma,spec2006,200000001,0.41074,486926037,,,,,,,,,,,,,,99.9951,,,,,10,,,,,,,,0.00491046,,,203647,,,,,,,4720,,0,4720,
400.perlbench-41B.champsimtrace.xz,mirage,spec2006,200000001,0.409336,488596342,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,247966,,,,,,,4720,,0,4720,
400.perlbench-41B.champsimtrace.xz,srrip,spec2006,200000001,0.411055,486552612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4720,,0,4720,
400.perlbench-50B.champsimtrace.xz,enigma,spec2006,200000000,0.400131,499836000,,,,,,,,,,,,,,99.9983,,,,,2,,,,,,,,0.00168356,,,118796,,,,,,,4694,,0,4694,
400.perlbench-50B.champsimtrace.xz,mirage,spec2006,200000000,0.399273,500910940,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,130727,,,,,,,4694,,0,4694,
400.perlbench-50B.champsimtrace.xz,srrip,spec2006,200000000,0.400698,499128995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694,,0,4694,
401.bzip2-226B.champsimtrace.xz,enigma,spec2006,200000000,0.679009,294546776,,,,,,,,,,,,,,99.9959,,,,,28,,,,,,,,0.00411451,,,680518,,,,,,,1674,,0,1674,
401.bzip2-226B.champsimtrace.xz,mirage,spec2006,200000000,0.668337,299250263,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,789987,,,,,,,1674,,0,1674,
401.bzip2-226B.champsimtrace.xz,srrip,spec2006,200000000,0.681644,293408433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674,,0,1674,
401.bzip2-277B.champsimtrace.xz,enigma,spec2006,200000002,0.673244,297068992,,,,,,,,,,,,,,99.9995,,,,,4,,,,,,,,0.000451172,,,886580,,,,,,,1961,,0,1961,
401.bzip2-277B.champsimtrace.xz,mirage,spec2006,200000002,0.670673,298207902,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,829598,,,,,,,1961,,0,1961,
401.bzip2-277B.champsimtrace.xz,srrip,spec2006,200000002,0.676932,295450542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,,0,1961,
401.bzip2-38B.champsimtrace.xz,enigma,spec2006,200000002,0.616784,324262778,,,,,,,,,,,,,,99.9987,,,,,6,,,,,,,,0.001338,,,448430,,,,,,,1282,,0,1282,
401.bzip2-38B.champsimtrace.xz,mirage,spec2006,200000002,0.607666,329128247,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,587334,,,,,,,1282,,0,1282,
401.bzip2-38B.champsimtrace.xz,srrip,spec2006,200000002,0.617881,323686682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282,,0,1282,
401.bzip2-7B.champsimtrace.xz,enigma,spec2006,200000002,0.745403,268311411,,,,,,,,,,,,,,99.9981,,,,,5,,,,,,,,0.00191759,,,260744,,,,,,,1089,,0,1089,
401.bzip2-7B.champsimtrace.xz,mirage,spec2006,200000002,0.734432,272319327,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,395356,,,,,,,1089,,0,1089,
401.bzip2-7B.champsimtrace.xz,srrip,spec2006,200000002,0.745308,268345455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,,0,1089,
403.gcc-16B.champsimtrace.xz,enigma,spec2006,200000000,1.32147,151346642,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,69347,,,,,,,3983,,0,3983,
403.gcc-16B.champsimtrace.xz,mirage,spec2006,200000000,1.31841,151697552,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,104475,,,,,,,3983,,0,3983,
403.gcc-16B.champsimtrace.xz,srrip,spec2006,200000000,1.32413,151042980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3983,,0,3983,
403.gcc-17B.champsimtrace.xz,enigma,spec2006,200000002,0.307145,651158267,,,,,,,,,,,,,,99.9929,,,,,190,,,,,,,,0.00714751,,,2658267,,,,,,,32761,,0,32761,
403.gcc-17B.champsimtrace.xz,mirage,spec2006,200000002,0.304962,655818850,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2363114,,,,,,,32761,,0,32761,
403.gcc-17B.champsimtrace.xz,srrip,spec2006,200000002,0.308117,649104882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32761,,0,32761,
403.gcc-48B.champsimtrace.xz,enigma,spec2006,200000001,0.691702,289141872,,,,,,,,,,,,,,99.9969,,,,,3,,,,,,,,0.00307478,,,97568,,,,,,,3861,,0,3861,
403.gcc-48B.champsimtrace.xz,mirage,spec2006,200000001,0.690805,289517250,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,103244,,,,,,,3861,,0,3861,
403.gcc-48B.champsimtrace.xz,srrip,spec2006,200000001,0.692322,288882776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3861,,0,3861,
410.bwaves-1963B.champsimtrace.xz,enigma,spec2006,200000001,0.564215,354475034,,,,,,,,,,,,,,99.9883,,,,,873,,,,,,,,0.0116734,,,7478567,,,,,,,103148,,0,103148,
410.bwaves-1963B.champsimtrace.xz,mirage,spec2006,200000001,0.565178,353870629,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,7490181,,,,,,,103148,,0,103148,
410.bwaves-1963B.champsimtrace.xz,srrip,spec2006,200000001,0.572282,349478302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103148,,0,103148,
410.bwaves-2097B.champsimtrace.xz,enigma,spec2006,200000003,0.564253,354451028,,,,,,,,,,,,,,99.9884,,,,,870,,,,,,,,0.011634,,,7478110,,,,,,,103147,,0,103147,
410.bwaves-2097B.champsimtrace.xz,mirage,spec2006,200000003,0.565287,353802362,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,7490794,,,,,,,103147,,0,103147,
410.bwaves-2097B.champsimtrace.xz,srrip,spec2006,200000003,0.572372,349422861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103147,,0,103147,
410.bwaves-945B.champsimtrace.xz,enigma,spec2006,200000002,0.833387,239984424,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,12568,,,,,,,214,,0,214,
410.bwaves-945B.champsimtrace.xz,mirage,spec2006,200000002,0.83338,239986673,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,13408,,,,,,,214,,0,214,
410.bwaves-945B.champsimtrace.xz,srrip,spec2006,200000002,0.833416,239976268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,0,214,
416.gamess-875B.champsimtrace.xz,enigma,spec2006,200000000,0.726578,275263090,,,,,,,,,,,,,,100,,,,,0,,,,,,,,0,,,4655,,,,,,,189,,0,189,
416.gamess-875B.champsimtrace.xz,mirage,spec2006,200000000,0.726578,275263090,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4655,,,,,,,189,,0,189,
416.gamess-875B.champsimtrace.xz,srrip,spec2006,200000000,0.726585,275260413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,0,189,
429.mcf-184B.champsimtrace.xz,enigma,spec2006,200000000,0.0712707,2806204241,,,,,,,,,,,,,,99.9915,,,,,2100,,,,,,,,0.00848662,,,24744832,,,,,,,197126,,0,197126,
429.mcf-184B.champsimtrace.xz,mirage,spec2006,200000000,0.0667387,2996763198,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,29337819,,,,,,,197126,,0,197126,
429.mcf-184B.champsimtrace.xz,srrip,spec2006,200000000,0.0725916,2755141292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197126,,0,197126,
429.mcf-192B.champsimtrace.xz,enigma,spec2006,200000000,0.0675283,2961722813,,,,,,,,,,,,,,99.9925,,,,,1789,,,,,,,,0.00754728,,,23703897,,,,,,,328298,,0,328298,
429.mcf-192B.champsimtrace.xz,mirage,spec2006,200000000,0.0596862,3350858244,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,31982702,,,,,,,328298,,0,328298,
429.mcf-192B.champsimtrace.xz,srrip,spec2006,200000000,0.0685227,2918742809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328298,,0,328298,
429.mcf-217B.champsimtrace.xz,enigma,spec2006,200000002,0.174843,1143885440,,,,,,,,,,,,,,99.9837,,,,,3573,,,,,,,,0.0163033,,,21915823,,,,,,,35161,,0,35161,
429.mcf-217B.champsimtrace.xz,mirage,spec2006,200000002,0.186058,1074933855,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,20037669,,,,,,,35161,,0,35161,
429.mcf-217B.champsimtrace.xz,srrip,spec2006,200000002,0.180629,1107243296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35161,,0,35161,
429.mcf-22B.champsimtrace.xz,enigma,spec2006,200000000,0.272747,733280618,,,,,,,,,,,,,,99.9908,,,,,1205,,,,,,,,0.00917985,,,13126573,,,,,,,317402,,0,317402,
429.mcf-22B.champsimtrace.xz,mirage,spec2006,200000000,0.285991,699323872,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,12074393,,,,,,,317402,,0,317402,
429.mcf-22B.champsimtrace.xz,srrip,spec2006,200000000,0.279713,715017720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317402,,0,317402,
429.mcf-51B.champsimtrace.xz,enigma,spec2006,200000000,0.0797293,2508489801,,,,,,,,,,,,,,99.9915,,,,,1988,,,,,,,,0.00849908,,,23390768,,,,,,,114149,,0,114149,
429.mcf-51B.champsimtrace.xz,mirage,spec2006,200000000,0.0777431,2572576151,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,25660854,,,,,,,114149,,0,114149,
429.mcf-51B.champsimtrace.xz,srrip,spec2006,200000000,0.0813336,2459007371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114149,,0,114149,
433.milc-127B.champsimtrace.xz,enigma,spec2006,200000000,0.400381,499523732,,,,,,,,,,,,,,99.9903,,,,,817,,,,,,,,0.00973265,,,8394424,,,,,,,95964,,0,95964,
433.milc-127B.champsimtrace.xz,mirage,spec2006,200000000,0.399525,500593850,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,8319609,,,,,,,95964,,0,95964,
