L1D_LOAD_access,L1D_LOAD_avg_miss_penalty,L1D_LOAD_hit,L1D_LOAD_hit_pct,L1D_LOAD_miss,L1D_LOAD_miss_pct,L1D_RFO_access,L1D_RFO_avg_miss_penalty,L1D_RFO_hit,L1D_RFO_hit_pct,L1D_RFO_miss,L1D_RFO_miss_pct,L1D_TOTAL_access,L1D_TOTAL_avg_miss_penalty,L1D_TOTAL_hit,L1D_TOTAL_hit_pct,L1D_TOTAL_miss,L1D_TOTAL_miss_pct,L1D_WRITEBACK_access,L1D_WRITEBACK_avg_miss_penalty,L1D_WRITEBACK_hit,L1D_WRITEBACK_hit_pct,L1D_WRITEBACK_miss,L1D_WRITEBACK_miss_pct,L2C_LOAD_access,L2C_LOAD_avg_miss_penalty,L2C_LOAD_hit,L2C_LOAD_hit_pct,L2C_LOAD_miss,L2C_LOAD_miss_pct,L2C_RFO_access,L2C_RFO_avg_miss_penalty,L2C_RFO_hit,L2C_RFO_hit_pct,L2C_RFO_miss,L2C_RFO_miss_pct,L2C_TOTAL_access,L2C_TOTAL_avg_miss_penalty,L2C_TOTAL_hit,L2C_TOTAL_hit_pct,L2C_TOTAL_miss,L2C_TOTAL_miss_pct,L2C_WRITEBACK_access,L2C_WRITEBACK_avg_miss_penalty,L2C_WRITEBACK_hit,L2C_WRITEBACK_hit_pct,L2C_WRITEBACK_miss,L2C_WRITEBACK_miss_pct,LLC0_LOAD_access,LLC0_LOAD_avg_miss_penalty,LLC0_LOAD_hit,LLC0_LOAD_hit_pct,LLC0_LOAD_miss,LLC0_LOAD_miss_pct,LLC0_RFO_access,LLC0_RFO_avg_miss_penalty,LLC0_RFO_hit,LLC0_RFO_hit_pct,LLC0_RFO_miss,LLC0_RFO_miss_pct,LLC0_TOTAL_access,LLC0_TOTAL_avg_miss_penalty,LLC0_TOTAL_hit,LLC0_TOTAL_hit_pct,LLC0_TOTAL_miss,LLC0_TOTAL_miss_pct,LLC0_WRITEBACK_access,LLC0_WRITEBACK_avg_miss_penalty,LLC0_WRITEBACK_hit,LLC0_WRITEBACK_hit_pct,LLC0_WRITEBACK_miss,LLC0_WRITEBACK_miss_pct,allocated_pages,avg_rrpv_increment_rounds,common_path_rate,cycles,data_store_evictions,data_store_fills_avg,data_store_fills_cv,data_store_fills_max,data_store_fills_min,data_store_fills_total,data_store_occupancy_0,data_store_occupancy_1,data_store_occupancy_10,data_store_occupancy_11,data_store_occupancy_12,data_store_occupancy_13,data_store_occupancy_14,data_store_occupancy_15,data_store_occupancy_16,data_store_occupancy_2,data_store_occupancy_3,data_store_occupancy_4,data_store_occupancy_5,data_store_occupancy_6,data_store_occupancy_7,data_store_occupancy_8,data_store_occupancy_9,deferred_sos_dirty_writebacks,deferred_sos_services,dram_pages,final_rrpv_0,final_rrpv_1,final_rrpv_2,final_rrpv_3,final_rrpv_4,final_rrpv_5,final_rrpv_6,final_rrpv_7,instructions,ipc,llc_avg_miss_latency,llc_security_mode,major_fault,minor_fault,mode,no_of_sos_triggered,rrpv_sampled_evictions,rrpv_total_rounds,sos_forced_selections,sos_percentage,sos_queue_enqueues,sos_queue_max_occupancy,sos_queue_remaining,sos_service_rate,ssl_common_selections,stale_tag_repairs,tag_free_skew0_avg,tag_free_skew1_avg,tag_insert_skew0,tag_insert_skew1,tag_occ_skew0_0,tag_occ_skew0_1,tag_occ_skew0_10,tag_occ_skew0_11,tag_occ_skew0_12,tag_occ_skew0_13,tag_occ_skew0_14,tag_occ_skew0_2,tag_occ_skew0_3,tag_occ_skew0_4,tag_occ_skew0_5,tag_occ_skew0_6,tag_occ_skew0_7,tag_occ_skew0_8,tag_occ_skew0_9,tag_occ_skew0_avg,tag_occ_skew1_0,tag_occ_skew1_1,tag_occ_skew1_10,tag_occ_skew1_11,tag_occ_skew1_12,tag_occ_skew1_13,tag_occ_skew1_14,tag_occ_skew1_2,tag_occ_skew1_3,tag_occ_skew1_4,tag_occ_skew1_5,tag_occ_skew1_6,tag_occ_skew1_7,tag_occ_skew1_8,tag_occ_skew1_9,tag_occ_skew1_avg,tag_store_full_events,tag_utilization,total_miss_at_tag_array,trace,victim_rrpv_0,victim_rrpv_1,victim_rrpv_2,victim_rrpv_3,victim_rrpv_4,victim_rrpv_5,victim_rrpv_6,victim_rrpv_7
40726560,76.7525,37479380,92.0269,3247180,7.97313,22550336,142.536,22547604,99.9879,2732,0.0121151,63276896,76.8078,60026984,94.864,3249912,5.13602,0,0.0,0,0.0,0,0.0,3247180,123.313,1622218,49.9577,1624962,50.0423,2732,174.225,741,27.123,1991,72.877,3291261,123.375,1664303,50.5673,1626958,49.4327,41349,0.0,41344,99.9879,5,0.0120922,1624962,85.7374,8877,0.54629,1616085,99.4537,1991,138.78,53,2.66198,1938,97.338,1648110,85.6026,26338,1.59807,1621772,98.4019,21157,0.0,17408,82.2801,3749,17.7199,10446,0.0680657,99.9887,666295107,3457787.0,1704.37,0.000346127,1707.0,1704.0,3490555.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,6917622.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,25.0,396.0,1048576,29.0,72.0,75.0,448.0,2897.0,1233.0,14969.0,13045.0,200000001,0.300167,85.6026,enigma,0,10446,enigma,396.0,3490159.0,237560.0,396.0,0.0113449,396.0,1.0,0.0,0.0113449,3490159.0,0.0,6.01367,5.98633,1746820.0,1743735.0,0.0,0.0,217.0,27.0,0.0,0.0,0.0,1.0,9.0,17.0,80.0,183.0,370.0,592.0,552.0,7.98633,0.0,0.0,243.0,25.0,0.0,0.0,0.0,0.0,4.0,19.0,65.0,193.0,379.0,597.0,523.0,8.01367,0.0,0.571429,3490555.0,602.gcc_s-734B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490159.0
40726917,77.141,37479736,92.0269,3247181,7.97306,22550329,144.851,22547597,99.9879,2732,0.0121151,63277246,77.1979,60027333,94.864,3249913,5.13599,0,0.0,0,0.0,0,0.0,3247181,124.09,1622219,49.9578,1624962,50.0422,2732,177.402,741,27.123,1991,72.877,3291262,124.155,1664304,50.5674,1626958,49.4326,41349,0.0,41344,99.9879,5,0.0120922,1624962,86.3109,5008,0.308192,1619954,99.6918,1991,139.976,23,1.1552,1968,98.8448,1648110,85.9721,18567,1.12656,1629543,98.8734,21157,0.0,13536,63.9788,7621,36.0212,10446,,,667449685,3478704.0,1714.59,0.0244226,1875.0,1579.0,3511472.0,0.0,2258.0,8758.0,11398.0,14848.0,19570.0,30624.0,63088.0,6803710.0,2720.0,2980.0,3364.0,3890.0,4480.0,5154.0,5992.0,7342.0,,,1048576,,,,,,,,,200000001,0.299648,85.972,mirage,0,10446,mirage,0.0,,,,0.0,,,,,,,,,1755897.0,1755575.0,0.0,1.0,249.0,16.0,1.0,0.0,0.0,1.0,1.0,26.0,68.0,188.0,381.0,602.0,514.0,7.99072,0.0,0.0,225.0,26.0,0.0,0.0,0.0,2.0,4.0,19.0,79.0,188.0,346.0,601.0,558.0,8.00928,,,3511472.0,602.gcc_s-734B.champsimtrace.xz,,,,,,,,
40726447,72.7536,37479266,92.0268,3247181,7.97315,22550476,136.95,22547744,99.9879,2732,0.012115,63276923,72.8075,60027010,94.864,3249913,5.13602,0,0.0,0,0.0,0,0.0,3247181,115.321,1622219,49.9578,1624962,50.0422,2732,166.462,741,27.123,1991,72.877,3291262,115.383,1664304,50.5674,1626958,49.4326,41349,0.0,41344,99.9879,5,0.0120922,1624962,81.7247,8950,0.550782,1616012,99.4492,1991,134.688,51,2.56153,1940,97.4385,1648110,81.5991,26409,1.60238,1621701,98.3976,21157,0.0,17408,82.2801,3749,17.7199,10446,0.0681153,,653518198,3457505.0,1704.23,0.0661514,1954.0,1415.0,3490273.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,6917058.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,,,1048576,30.0,83.0,67.0,674.0,2745.0,1148.0,15082.0,12939.0,200000001,0.306036,81.5991,srrip,0,10446,srrip,,3490273.0,237741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.gcc_s-734B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490273.0
59534312,321.606,55633397,93.4476,3900915,6.55238,11205466,203.827,11108018,99.1304,97448,0.869647,70739778,318.735,66741415,94.3478,3998363,5.65221,0,0.0,0,0.0,0,0.0,3900915,321.065,197837,5.07155,3703078,94.9284,97448,187.761,0,0.0,97448,100.0,4097296,317.647,296770,7.24307,3800526,92.7569,98933,0.0,98933,100.0,0,0.0,3703078,282.103,0,0.0,3703078,100.0,97448,149.049,0,0.0,97448,100.0,3897998,278.691,97468,2.50046,3800530,97.4995,97472,0.0,97468,99.9959,4,0.00410374,112968,0.072186,99.9888,316817830,7568499.0,3711.56,0.000196878,3715.0,3711.0,7601267.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,15139046.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,117.0,849.0,1048576,359.0,691.0,718.0,687.0,714.0,763.0,15475.0,13361.0,200000001,0.631278,278.691,enigma,0,112968,enigma,849.0,7600418.0,548644.0,849.0,0.0111692,849.0,1.0,0.0,0.0111692,7600418.0,0.0,6.00684,5.99316,3801698.0,3799569.0,0.0,0.0,259.0,21.0,0.0,0.0,0.0,1.0,3.0,30.0,76.0,196.0,363.0,570.0,529.0,7.99316,0.0,1.0,246.0,28.0,0.0,0.0,0.0,0.0,4.0,21.0,72.0,181.0,404.0,560.0,531.0,8.00684,0.0,0.571429,7601267.0,603.bwaves_s-1740B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600418.0
59534898,321.631,55633983,93.4477,3900915,6.55232,11205550,203.695,11108102,99.1304,97448,0.86964,70740448,318.756,66742085,94.3478,3998363,5.65216,0,0.0,0,0.0,0,0.0,3900915,321.091,197837,5.07155,3703078,94.9284,97448,187.627,0,0.0,97448,100.0,4097296,317.669,296770,7.24307,3800526,92.7569,98933,0.0,98933,100.0,0,0.0,3703078,282.129,1,2.70046e-05,3703077,100.0,97448,148.91,0,0.0,97448,100.0,3897998,277.292,77996,2.00092,3820002,97.9991,97472,0.0,77995,80.0179,19477,19.9821,112968,,,316842684,7607302.0,3730.5,0.0160351,3919.0,3531.0,7640070.0,0.0,2326.0,8854.0,11166.0,14910.0,19858.0,30466.0,63590.0,15059906.0,2726.0,3036.0,3484.0,3800.0,4452.0,5144.0,6170.0,7484.0,,,1048576,,,,,,,,,200000001,0.631228,277.292,mirage,0,112968,mirage,0.0,,,,0.0,,,,,,,,,3819166.0,3820904.0,0.0,0.0,214.0,15.0,0.0,0.0,0.0,2.0,7.0,23.0,67.0,187.0,367.0,577.0,589.0,7.99072,0.0,0.0,220.0,15.0,0.0,0.0,0.0,1.0,4.0,22.0,67.0,167.0,390.0,589.0,573.0,8.00928,,,7640070.0,603.bwaves_s-1740B.champsimtrace.xz,,,,,,,,
59525866,313.951,55624951,93.4467,3900915,6.55331,11207196,198.262,11109748,99.1305,97448,0.869513,70733062,311.131,66734699,94.3473,3998363,5.65275,0,0.0,0,0.0,0,0.0,3900915,313.0,197837,5.07155,3703078,94.9284,97448,182.199,0,0.0,97448,100.0,4097296,309.646,296770,7.24307,3800526,92.7569,98933,0.0,98933,100.0,0,0.0,3703078,277.993,0,0.0,3703078,100.0,97448,147.401,0,0.0,97448,100.0,3897998,274.645,97472,2.50057,3800526,97.4994,97472,0.0,97472,100.0,0,0.0,112968,0.0723438,,313245680,7568491.0,3711.55,0.000477269,3733.0,3708.0,7601259.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,15139030.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,,,1048576,507.0,462.0,870.0,780.0,580.0,837.0,16325.0,12407.0,200000001,0.638476,274.645,srrip,0,112968,srrip,,7601259.0,549904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.bwaves_s-1740B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7601259.0
59563354,321.659,55662429,93.4508,3900925,6.5492,11205244,203.956,11107795,99.1303,97449,0.869673,70768598,318.791,66770224,94.3501,3998374,5.64993,0,0.0,0,0.0,0,0.0,3900925,321.111,197839,5.07159,3703086,94.9284,97449,187.911,0,0.0,97449,100.0,4097301,317.696,296766,7.24296,3800535,92.757,98927,0.0,98927,100.0,0,0.0,3703087,282.151,0,0.0,3703087,100.0,97449,149.193,0,0.0,97449,100.0,3897984,278.741,97442,2.49981,3800542,97.5002,97448,0.0,97442,99.9938,6,0.00615713,112961,0.0721854,99.9884,316597327,7568500.0,3711.56,0.000196868,3715.0,3711.0,7601268.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,15139048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,128.0,881.0,1048576,336.0,723.0,653.0,742.0,693.0,654.0,15773.0,13194.0,200000000,0.631717,278.741,enigma,0,112961,enigma,881.0,7600387.0,548637.0,881.0,0.0115902,881.0,1.0,0.0,0.0115902,7600391.0,0.0,6.02002,5.97998,3802273.0,3798995.0,0.0,0.0,225.0,24.0,0.0,0.0,0.0,1.0,4.0,21.0,83.0,197.0,355.0,593.0,545.0,7.97998,0.0,0.0,235.0,21.0,0.0,0.0,0.0,1.0,5.0,22.0,55.0,190.0,387.0,573.0,559.0,8.02002,0.0,0.571429,7601272.0,603.bwaves_s-2609B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600387.0
59564408,321.678,55663483,93.4509,3900925,6.54909,11205350,203.744,11107901,99.1303,97449,0.869665,70769758,318.804,66771384,94.3502,3998374,5.64983,0,0.0,0,0.0,0,0.0,3900925,321.131,197839,5.07159,3703086,94.9284,97449,187.7,0,0.0,97449,100.0,4097301,317.71,296766,7.24296,3800535,92.757,98927,0.0,98927,100.0,0,0.0,3703087,282.171,4,0.000108018,3703083,99.9999,97449,148.977,0,0.0,97449,100.0,3897984,277.36,78324,2.00935,3819660,97.9907,97448,0.0,78320,80.3711,19128,19.6289,112961,,,316615244,7607041.0,3730.38,0.0164289,3932.0,3517.0,7639809.0,0.0,2328.0,8702.0,10848.0,14092.0,19834.0,30450.0,62290.0,15061954.0,2712.0,2984.0,3422.0,3894.0,4468.0,5542.0,6040.0,7290.0,,,1048576,,,,,,,,,200000000,0.631682,277.36,mirage,0,112961,mirage,0.0,,,,0.0,,,,,,,,,3823254.0,3816555.0,0.0,0.0,235.0,19.0,0.0,0.0,0.0,1.0,8.0,21.0,62.0,191.0,390.0,553.0,568.0,8.00342,0.0,0.0,229.0,25.0,0.0,0.0,0.0,2.0,4.0,17.0,77.0,172.0,389.0,609.0,524.0,7.99658,,,7639814.0,603.bwaves_s-2609B.champsimtrace.xz,,,,,,,,
59554778,313.972,55653853,93.4499,3900925,6.55015,11207331,198.024,11109882,99.1305,97449,0.869511,70762109,311.146,66763735,94.3496,3998374,5.65044,0,0.0,0,0.0,0,0.0,3900925,313.012,197839,5.07159,3703086,94.9284,97449,181.977,0,0.0,97449,100.0,4097301,309.652,296766,7.24296,3800535,92.757,98927,0.0,98927,100.0,0,0.0,3703087,278.005,0,0.0,3703087,100.0,97449,147.198,0,0.0,97449,100.0,3897984,274.651,97448,2.49996,3800536,97.5,97448,0.0,97448,100.0,0,0.0,112961,0.072346,,313006111,7568491.0,3711.55,0.000441467,3732.0,3709.0,7601259.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,15139030.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,,,1048576,483.0,414.0,996.0,720.0,420.0,1063.0,16458.0,12214.0,200000000,0.638965,274.651,srrip,0,112961,srrip,,7601259.0,549921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.bwaves_s-2609B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7601259.0
33102723,229.276,30965987,93.5451,2136736,6.45486,34139730,365.893,32873036,96.2897,1266694,3.71032,67242453,280.122,63839023,94.9386,3403430,5.06143,0,0.0,0,0.0,0,0.0,2136681,267.163,428222,20.0415,1708459,79.9585,1234027,372.924,43264,3.50592,1190763,96.4941,4654658,310.518,1754659,37.6968,2899999,62.3032,1283950,0.0,1283173,99.9395,777,0.0605164,1708459,237.553,61410,3.59447,1647049,96.4055,1190763,334.55,0,0.0,1190763,100.0,4091056,255.394,999236,24.4249,3091820,75.5751,1191834,0.0,937826,78.6876,254008,21.3124,76555,0.192942,99.9927,293441945,6200042.0,3043.36,0.000199672,3047.0,3043.0,6232810.0,0.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,12402132.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,279.0,456.0,1048576,1517.0,2544.0,2557.0,3194.0,3714.0,3759.0,9965.0,5518.0,200000003,0.681566,255.394,enigma,0,76555,enigma,456.0,6232354.0,1202481.0,456.0,0.00731611,456.0,1.0,0.0,0.00731611,6232361.0,0.0,6.03271,5.96729,3118230.0,3114580.0,0.0,0.0,218.0,25.0,0.0,0.0,0.0,0.0,5.0,23.0,78.0,195.0,393.0,555.0,556.0,7.96729,0.0,0.0,244.0,17.0,0.0,0.0,0.0,1.0,4.0,24.0,66.0,172.0,358.0,612.0,550.0,8.03271,0.0,0.571429,6232817.0,603.bwaves_s-2931B.champsimtrace.xz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6232354.0
