design,extra_ways_per_skew,billion_tries,seed,bucket_occupancy,count,prob_percent
maya,6,1,1,0,153,0.004
maya,6,1,1,1,1772,0.044
maya,6,1,1,2,9534,0.238
maya,6,1,1,3,33979,0.849
maya,6,1,1,4,70592,1.765
maya,6,1,1,5,111834,2.796
maya,6,1,1,6,206625,5.166
maya,6,1,1,7,418905,10.473
maya,6,1,1,8,784230,19.606
maya,6,1,1,9,1159536,28.988
maya,6,1,1,10,1090680,27.267
maya,6,1,1,11,457992,11.45
maya,6,1,1,12,46952,1.174
maya,6,1,1,13,432,0.011
maya,6,1,1,14,0,0.0
maya,6,1,1,15,0,0.0
maya,6,1,1,16,0,0.0
maya,6,1,1,17,0,0.0
maya,6,1,1,18,0,0.0
maya,6,1,1,19,0,0.0
maya,6,1,1,20,0,0.0
maya,6,1,1,21,0,0.0
maya,6,1,1,22,0,0.0
maya,6,1,1,23,0,0.0
maya,6,1,1,24,0,0.0
maya,6,1,1,25,0,0.0
maya,6,1,1,26,0,0.0
maya,6,1,1,27,0,0.0
maya,6,1,1,28,0,0.0
maya,6,1,1,29,0,0.0
maya,6,1,1,30,0,0.0
maya,6,1,1,31,0,0.0
maya,6,1,1,32,0,0.0
maya,6,1,1,33,0,0.0
maya,6,1,1,34,0,0.0
maya,6,1,1,35,0,0.0
maya,6,1,1,36,0,0.0
maya,6,1,1,37,0,0.0
maya,6,1,1,38,0,0.0
maya,6,1,1,39,0,0.0
maya,6,1,1,40,0,0.0
mirage,6,1,1,0,8,0.0
mirage,6,1,1,1,103,0.005
mirage,6,1,1,2,933,0.047
mirage,6,1,1,3,5040,0.252
mirage,6,1,1,4,20468,1.023
mirage,6,1,1,5,66369,3.318
mirage,6,1,1,6,177258,8.863
mirage,6,1,1,7,371977,18.599
mirage,6,1,1,8,578078,28.904
mirage,6,1,1,9,544809,27.24
mirage,6,1,1,10,215098,10.755
mirage,6,1,1,11,19722,0.986
mirage,6,1,1,12,137,0.007
mirage,6,1,1,13,0,0.0
mirage,6,1,1,14,0,0.0
mirage,6,1,1,15,0,0.0
mirage,6,1,1,16,0,0.0
ssl_local_random,6,1,1,0,5,0.00025
ssl_local_random,6,1,1,1,99,0.00495
ssl_local_random,6,1,1,2,961,0.04805
ssl_local_random,6,1,1,3,5196,0.2598
ssl_local_random,6,1,1,4,21028,1.0514
ssl_local_random,6,1,1,5,66880,3.344
ssl_local_random,6,1,1,6,176386,8.8193
ssl_local_random,6,1,1,7,371392,18.5696
ssl_local_random,6,1,1,8,576334,28.8167
ssl_local_random,6,1,1,9,543945,27.19725
ssl_local_random,6,1,1,10,217194,10.8597
ssl_local_random,6,1,1,11,20416,1.0208
ssl_local_random,6,1,1,12,164,0.0082
ssl_local_random,6,1,1,13,0,0.0
ssl_local_random,6,1,1,14,0,0.0
ssl_local_random,6,1,1,15,0,0.0
ssl_local_random,6,1,1,16,0,0.0
