design,extra_ways_per_skew,billion_tries,seed,dest_bucket_occupancy,insertions,percent
maya,6,1,1,0,2,0.0
maya,6,1,1,1,53,0.003
maya,6,1,1,2,485,0.024
maya,6,1,1,3,2929,0.146
maya,6,1,1,4,13032,0.652
maya,6,1,1,5,46726,2.336
maya,6,1,1,6,136727,6.836
maya,6,1,1,7,321006,16.05
maya,6,1,1,8,559551,27.978
maya,6,1,1,9,604217,30.211
maya,6,1,1,10,283108,14.155
maya,6,1,1,11,31863,1.593
maya,6,1,1,12,301,0.015
maya,6,1,1,13,0,0.0
maya,6,1,1,14,0,0.0
maya,6,1,1,15,0,0.0
maya,6,1,1,16,0,0.0
maya,6,1,1,17,0,0.0
maya,6,1,1,18,0,0.0
maya,6,1,1,19,0,0.0
maya,6,1,1,20,0,0.0
maya,6,1,1,21,0,0.0
maya,6,1,1,22,0,0.0
maya,6,1,1,23,0,0.0
maya,6,1,1,24,0,0.0
maya,6,1,1,25,0,0.0
maya,6,1,1,26,0,0.0
maya,6,1,1,27,0,0.0
maya,6,1,1,28,0,0.0
maya,6,1,1,29,0,0.0
maya,6,1,1,30,0,0.0
maya,6,1,1,31,0,0.0
maya,6,1,1,32,0,0.0
maya,6,1,1,33,0,0.0
maya,6,1,1,34,0,0.0
maya,6,1,1,35,0,0.0
maya,6,1,1,36,0,0.0
maya,6,1,1,37,0,0.0
maya,6,1,1,38,0,0.0
maya,6,1,1,39,0,0.0
mirage,6,1,1,0,8,0.001
mirage,6,1,1,1,103,0.01
mirage,6,1,1,2,933,0.093
mirage,6,1,1,3,5033,0.503
mirage,6,1,1,4,20307,2.031
mirage,6,1,1,5,64323,6.432
mirage,6,1,1,6,160946,16.095
mirage,6,1,1,7,287424,28.742
mirage,6,1,1,8,308947,30.895
mirage,6,1,1,9,137878,13.788
mirage,6,1,1,10,13994,1.399
mirage,6,1,1,11,104,0.01
mirage,6,1,1,12,0,0.0
mirage,6,1,1,13,0,0.0
mirage,6,1,1,14,0,0.0
mirage,6,1,1,15,0,0.0
ssl_local_random,6,1,1,0,5,0.0005
ssl_local_random,6,1,1,1,99,0.0099
ssl_local_random,6,1,1,2,960,0.096
ssl_local_random,6,1,1,3,5188,0.5188
ssl_local_random,6,1,1,4,20852,2.0852
ssl_local_random,6,1,1,5,64880,6.488
ssl_local_random,6,1,1,6,160335,16.0335
ssl_local_random,6,1,1,7,286555,28.6555
ssl_local_random,6,1,1,8,308133,30.8133
ssl_local_random,6,1,1,9,138611,13.8611
ssl_local_random,6,1,1,10,14252,1.4252
ssl_local_random,6,1,1,11,130,0.013
ssl_local_random,6,1,1,12,0,0.0
ssl_local_random,6,1,1,13,0,0.0
ssl_local_random,6,1,1,14,0,0.0
ssl_local_random,6,1,1,15,0,0.0
ssl_local_random,6,1,1,16,0,0.0
